ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
0,simple,brandy-ebook-1,Bicycle and Youthful Love,1,1,visible,A haunting tale of memory and loss set in a small coastal town.,"In the sleepy town of Eldermere, the past clings to its inhabitants like a fog. When Emma, a young journalist, returns to her hometown to care for her ailing grandmother, she uncovers a series of mysterious letters that hint at a tragic love story buried for decades. As she digs deeper, Emma finds herself drawn into the lives of the town’s residents, each harboring their own secrets and regrets. With the ocean’s whispers echoing her discoveries, Emma must confront the ghosts of her own past, ultimately learning that healing often requires embracing the pain of remembrance.",,,taxable,,1,,0,0,,,,,1,,9.99,12.25,"BMy Beloved Family Collection > BFamily 1, BStart-up for Young People > BStart-up 4",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-1-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-ebook-2,How to be a Master Leader,1,1,visible,A gripping fantasy adventure about a young woman who discovers her father's hidden legacy.,"In a world where magic is both revered and feared, Elara has lived a sheltered life under her father’s strict guidance. But when he disappears, leaving behind a cryptic journal, Elara is thrust into a world of alchemy, ancient spells, and rival factions vying for power. As she deciphers her father’s teachings, she discovers not only her own magical abilities but also a dark conspiracy that threatens to consume their realm. Joined by a motley crew of misfits—including a rogue thief and a mysterious sorcerer—Elara embarks on a quest to uncover the truth behind her father’s legacy and her own destiny.",,,taxable,,1,,0,0,,,,,1,,,34,"BMy Beloved Family Collection > BFamily 2, BStart-up for Young People > BStart-up 2",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-2-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-ebook-3,Explore the Vast Universe,1,1,visible,"In a dystopian future, one woman fights to preserve the written word.","In a world where books are deemed dangerous and information is tightly controlled, Nora is the last librarian in a city that has outlawed reading. Working in secret, she collects forbidden texts and shares their wisdom with a small group of rebels. As the oppressive regime closes in, Nora must navigate a web of spies and betrayal to protect her precious library. With time running out, she uncovers a prophecy about a “Book of Truth” that could change everything. As she races against the clock, Nora learns that stories have the power to ignite revolutions, and she may be the key to restoring freedom to her world.",,,taxable,,1,,0,0,,,,,1,,,0,"BMy Beloved Family Collection > BFamily 3, BStart-up for Young People > BStart-up 1",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-3-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-ebook-4,Keeping the Family Fire,1,1,visible,"A dual-timeline novel exploring love, betrayal, and redemption across generations.","In 2023, Sarah inherits an old estate from a grandmother she never knew. As she renovates the crumbling mansion, she discovers a trove of letters and diaries that tell the story of her grandmother, Margaret, a young woman who fell in love during World War II. Through Margaret’s eyes, Sarah experiences the joys and sorrows of a love challenged by war, societal expectations, and personal sacrifice. As Sarah delves deeper into her family’s history, she must confront her own fears about love and commitment. Ultimately, the lessons learned from Margaret’s life guide Sarah toward a future she never thought possible.",,,taxable,,1,,0,0,,,,,1,,17,23,"BMy Beloved Family Collection > BFamily 4, BYour Literary Journey Begins > BJourney 1",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-4-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-ebook-5,Thinking Fast and Slow,1,0,visible,A gripping psychological thriller that delves into the mind of a detective haunted by his past.,"Detective Mark Henderson is known for his unyielding dedication to solving crimes, but his latest case—a string of mysterious drownings—forces him to confront his own dark history. As he investigates the victims, he discovers a chilling connection to a traumatic event from his childhood that he has tried to bury. With each clue, Mark descends deeper into a psychological labyrinth, battling his own demons while racing against time to stop the killer. As the lines blur between reality and memory, he must confront the truth of his past to save himself and prevent further tragedy.",,,taxable,,1,,0,0,,,,,1,,,0,"BYour Literary Journey Begins > BJourney 1, BMy Beloved Family Collection > BFamily 2",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-5-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-ebook-6,Brandy Demo Ebook Prod,1,0,visible,"A historical mystery set in Victorian England, where one man’s craft holds the key to a deadly conspiracy.","In the bustling streets of Victorian London, Samuel, a talented clockmaker, is drawn into a web of intrigue when a mysterious client commissions a peculiar clock that seems to hold hidden messages. As Samuel works on the project, he uncovers a conspiracy involving a powerful secret society bent on manipulating time itself. With the help of a clever young woman and a disillusioned detective, Samuel must race to decode the clock’s secrets before it falls into the wrong hands. Blending history with suspense, “The Clockmaker’s Secret” explores themes of time, fate, and the resilience of the human spirit.",,,taxable,,1,,0,0,,,,,1,,19.99,25.70,"BYour Literary Journey Begins > BJourney 2, BMy Beloved Family Collection > BFamily 4",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-6-min.png,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-ebook-7,The Light Beyond In Life,1,1,visible,"An epic maritime adventure that explores friendship, sacrifice, and the quest for discovery.","When a renowned explorer, Captain Jonas Reed, sets sail on his final voyage, he hopes to uncover new lands and treasures. Accompanied by a diverse crew, including a spirited navigator and a mysterious stowaway, Jonas faces the trials of the sea—stormy weather, dwindling supplies, and the threat of mutiny. As they journey into uncharted waters, the crew discovers not only new lands but also the strength of their bonds and the importance of loyalty. When tragedy strikes, Jonas must make a choice between his dreams of glory and the lives of his crew, leading to a heart-wrenching conclusion that will change them forever.",,,taxable,,1,,0,0,,,,,1,,,0,"BYour Literary Journey Begins > BJourney 3, BTest Ebook Category > BTest Ebook 1 ",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-7-min.png,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-ebook-8,Designee in real global life,1,0,visible,A contemporary urban fantasy where magic simmers beneath the surface of a bustling metropolis.,"In the vibrant city of Lumen, magic exists hidden in the shadows, accessible only to those who know where to look. Lena, a gifted street artist, discovers her own magical abilities after a chance encounter with a secret society of magic users. As she navigates this hidden world, Lena finds herself entangled in a power struggle between rival factions seeking to control the city’s magic. With her art as both weapon and shield, Lena must learn to harness her abilities while uncovering a dark secret that could change the fate of Lumen. “City of Shadows” explores the intersection of art, identity, and the hidden forces that shape our world.",,,taxable,,1,,0,0,,,,,1,,,24.12,"BYour Literary Journey Begins > BJourney 4, BTest Ebook Category > BTest Ebook 2 ",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-8-min.png,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-ebook-9,Luna and Derek with love,1,1,visible,A heartwarming story about a young girl who discovers her ability to enter people’s dreams.,"Eleven-year-old Mia has always been a daydreamer, but when she discovers she can enter other people's dreams, her life changes forever. Each night, she visits the dreams of her friends and family, helping them confront fears and overcome obstacles. However, when she accidentally enters the dream of a troubled classmate who is trapped in a nightmare, Mia realizes the responsibility that comes with her gift. As she navigates the complexities of dreams and reality, Mia learns valuable lessons about empathy, friendship, and the power of believing in oneself. “The Color of Dreams” is a touching exploration of childhood, courage, and the magic of imagination.",,,taxable,,1,,0,0,,,,,1,,9.99,199,"BStart-up for Young People > BStart-up 1, BMy Beloved Family Collection > BFamily 3",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-9-min.png,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-ebook-10,Your Literary Journey Begins ,1,0,visible,A captivating historical romance set in the art world of 19th-century Paris.,"In the vibrant art scene of 19th-century Paris, Claire, a struggling artist, is determined to make her mark in a male-dominated world. When she catches the eye of a renowned painter, she becomes his muse, inspiring a series of groundbreaking works. As their relationship deepens, Claire grapples with her own artistic ambitions and the societal expectations that threaten to confine her. Amidst the backdrop of art exhibitions and bohemian gatherings, Claire must choose between love and independence. “The Painter’s Muse” is a passionate tale of creativity, ambition, and the struggle for self-identity in a world that often sidelines women’s voices.",,,taxable,,1,,0,0,,,,,1,,,0,"BStart-up for Young People > BStart-up 2, BYour Literary Journey Begins > BJourney 4",Brandy Ebook Demo Prod,,https://images.wpbrandy.com/uploads/ebook-prod-10-min.png,,,,,,,,,,,,,,,,,,,,,,
