ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
0,simple,brandy-12-week-mba,The 12-Week MBA,1,1,visible,A magical journey through an enchanted forest where friendship blooms and secrets unfold.,"""Whispers of the Forest,"" young adventurer Elara discovers a hidden realm filled with talking animals and ancient trees that hold the wisdom of ages. As she navigates the challenges of this mystical land, she forms unbreakable bonds and uncovers the truth about her own family legacy. This enchanting tale celebrates the power of friendship and the beauty of nature, making it perfect for readers of all ages.",,,taxable,,1,,0,0,,,,,1,,99,134,BFamily Story,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-1-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-the-art-of-thinking-reverse,The art of thinking reverse,1,1,visible,A gripping science fiction novel about a time traveler caught in a web of alternate realities.,"In ""The Timekeeper’s Dilemma,"" renowned physicist Dr. Ava Collins stumbles upon a time machine that reveals the fragility of time. As she travels between alternate realities, she faces moral dilemmas that could alter the course of history. With gripping twists and a richly developed world, this story explores the consequences of our choices and the interconnectedness of all lives.",,,taxable,,1,,0,0,,,,,1,,22,47,BRomance Loves,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-2-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-atomic-love,Atomic love,1,0,visible,A vibrant cookbook featuring delicious recipes and the stories behind them.,"""Culinary Chronicles"" takes readers on a global journey through food. With over 100 authentic recipes from five continents, each dish is paired with a story that captures the cultural essence behind it. From the spicy streets of Bangkok to the rustic kitchens of Tuscany, this cookbook is perfect for adventurous home cooks looking to explore the world through their taste buds.",,,taxable,,1,,0,0,,,,,1,,,18,BFiction Books,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-3-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-book-festival-your-life,Book festival your life,1,1,visible,A psychological thriller that blurs the lines between reality and illusion.,"In ""Shadows in the Mirror,"" psychologist Dr. Lila Hart is drawn into a chilling investigation when her patients begin experiencing haunting visions. As she delves deeper, she discovers a dark conspiracy that threatens to unravel her sanity. With its intricate plot and psychological depth, this thriller keeps readers on the edge of their seats, questioning the nature of reality itself.",,,taxable,,1,,0,0,,,,,1,,99,199,BReveal Zodiac,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-4-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-a-mind-of-leader,A mind of a leader,1,1,visible,"A lyrical exploration of love, loss, and the beauty of the night sky.","""Starlit Dreams"" is a heartfelt poetry collection that captures the essence of human emotions under the shimmering stars. Each poem evokes vivid imagery and deep feelings, inviting readers to reflect on their own experiences. Perfect for poetry lovers and anyone seeking solace in words, this collection is a reminder of the beauty that exists even in darkness.",,,taxable,,1,,0,0,,,,,1,,,100,BStrategy Business,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-5-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-ui-ux-design-template,UI/UX design template,1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",,,,taxable,,1,,0,0,,,,,1,,,34,BRomance Loves,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-6-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-luna-and-derek,Luna and Derek,1,1,visible,A thrilling mystery set in a decaying manor filled with family secrets.,"In ""The Secret of Emberwood Manor,"" estranged siblings return to their ancestral home to settle an inheritance. As they uncover hidden letters and forgotten rooms, long-buried family secrets surface, leading to shocking revelations. This captivating mystery combines suspense with rich historical detail, drawing readers into a world of intrigue and betrayal.",,,taxable,,1,,0,0,,,,,1,,99,152,BCooking Secrets,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-7-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-deals-you-will-love,Deals you’ll love,1,1,visible,A practical guide to achieving mindfulness and serenity in everyday life.,"""Mindful Living"" offers a comprehensive approach to cultivating peace and awareness in a chaotic world. Through practical exercises, meditative techniques, and inspiring anecdotes, this guide empowers readers to embrace mindfulness in their daily routines. Whether you’re a beginner or looking to deepen your practice, this book is a valuable companion on the journey to inner tranquility.",,,taxable,,1,,0,0,,,,,1,,99,199,BReveal Zodiac,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-8-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-disconnect-to-reconnect,Disconnect to reconnect,1,0,visible,"An epic fantasy tale of courage, destiny, and the fight against darkness.","In ""The Last Horizon,"" a young warrior named Kael embarks on a quest to save his realm from a rising darkness. Joined by a diverse band of allies, he must confront powerful foes and uncover ancient magic. Richly woven with themes of bravery, sacrifice, and friendship, this epic tale invites readers to explore a breathtaking world filled with danger and wonder.",,,taxable,,1,,0,0,,,,,1,,47,69,BStrategy Business,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-9-min.png,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-exprore-supernova,Explore Supernova,1,1,visible,A practical guide for aspiring digital nomads to create a fulfilling life while traveling.,"""Digital Nomad"" is an essential guide for those yearning to break free from the conventional 9-to-5 routine. Filled with practical tips on remote work, travel hacks, and personal anecdotes from experienced nomads, this book provides a roadmap for living a life of adventure and flexibility. Perfect for anyone ready to embrace a location-independent lifestyle.",,,taxable,,1,,0,0,,,,,1,,,21,BFamily Story,Brandy Book v1 Demo Prod,,https://images.wpbrandy.com/uploads/book-v1-prod-10-min.png,,,,,,,,,,,,,,,,,,,,,
