ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-1,Mini snake plant in orange pot,1,1,visible,Sustainable sneakers crafted from recycled materials for eco-friendly comfort.,"Step into sustainability with EcoStride Sneakers, made from 100% recycled materials. These lightweight shoes feature a breathable mesh upper and cushioned insole for all-day comfort. Perfect for your daily errands or a casual outing.",,,taxable,,1,,0,0,,,,,1,,62,109.5,BNew Arrivals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-1-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-2,Crocs Unisex Crocband Sandals,1,1,visible,Lightweight running shoes with shock absorption for peak performance.,"Achieve your personal best with AeroLite Running Shoes. Designed with a shock-absorbing sole and breathable fabric, these shoes provide optimal support and ventilation. Ideal for both novice and seasoned runners.",,,taxable,,1,,0,0,,,,,1,,,299.5,BCrocs Sandals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-2-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-3,Black classic all terrain sandal,1,0,visible,"Sturdy boots designed for urban adventures, combining style and functionality.","Conquer city streets with Urban Explorer Boots. Featuring a rugged exterior and cushioned interior, these boots offer durability and style. Slip-resistant soles make them perfect for any weather.",,,taxable,,1,,0,0,,,,,1,,,88,BCrocs Sandals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-3-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-4,One pink sneaker shoe isolated white,1,1,visible,Elegant leather loafers that blend sophistication with comfort.,"Elevate your wardrobe with LuxeSlip Loafers. Made from premium leather, these shoes provide a classic silhouette with unmatched comfort. Perfect for both office wear and casual outings.",,,taxable,,1,,0,0,,,,,1,,141,173.95,BSneaker,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-4-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-5,Multicolored creative sneaker bright joyful,1,1,visible,Durable hiking shoes designed for optimal grip and waterproof protection.,"Embrace the great outdoors with TrailBlazer Hiking Shoes. Built with a rugged sole for superior traction and a waterproof upper, these shoes are your ideal companion for any trail adventure.",,,taxable,,1,,0,0,,,,,1,,,277,BSneaker,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-5-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-6,Sneakers green with color accents,1,0,visible,"Stylish and comfortable flats, perfect for any occasion.","Slip into elegance with Chic Ballerina Flats. These versatile shoes feature a soft, flexible design that hugs your feet while offering a timeless look. Perfect for any occasion, from brunch to the office.",,,taxable,,1,,0,0,,,,,1,,1000,1359.99,BCrocs Sandals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-6-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-7,Sneakers black blue sport shoes,1,1,visible,Comfortable slide sandals with adjustable straps for a perfect fit.,"Enjoy summer days in Sporty Slide Sandals. With a cushioned footbed and adjustable straps, these sandals provide comfort and style whether you're at the beach or running errands.",,,taxable,,1,,0,0,,,,,1,,,458.75,BSneaker,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-7-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-8,Waterproof gray short socks,1,1,visible,Timeless leather Chelsea boots that add sophistication to any outfit.,"Discover timeless style with Classic Chelsea Boots. Crafted from premium leather, these boots feature elastic side panels for easy wear. A versatile addition to any wardrobe, they pair perfectly with jeans or dresses.",,,,,1,,0,0,,,,,1,,,3.99,BNew Arrivals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-8-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-9,White running shoe with orange inserts,1,1,visible,Supportive training shoes built for stability and comfort during workouts.,"Enhance your workout with FlexFit Training Shoes. Designed for stability and support, these shoes feature a responsive sole and breathable mesh upper, making them ideal for gym sessions and high-intensity training.",,,,,1,,0,0,,,,,1,,,542,BSneaker,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-9-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-10,Cure clean shoe cleaning solution,1,0,visible,Nostalgic high-top sneakers that combine comfort with retro style.,"Bring back the classics with Retro Vibe High-Tops. These nostalgic sneakers feature a canvas upper and rubber sole, delivering both comfort and style. Perfect for making a statement on any casual day.",,,,,1,,0,0,,,,,1,,42,54.60,BNew Arrivals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-10-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-11,Colorful shoe laces,1,0,visible,Versatile chukka boots designed for all-weather performance and style.,"Brave any climate with All-Weather Chukka Boots. Waterproof and insulated, these boots are perfect for outdoor activities in cold, wet conditions while maintaining a sleek design suitable for urban wear.",,,,,1,,0,0,,,,,1,,,5,BNew Arrivals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-11-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,simple,brandy-shoes-product-12,Shoe insoles to prevent heel pain,1,1,visible,Cozy slippers designed for ultimate relaxation and warmth at home.,"Relax in luxury with Plush Comfort Slippers. Featuring a soft, fuzzy lining and cushioned footbed, these slippers provide warmth and coziness for lounging at home. Slip into comfort after a long day.",,,,,1,,0,0,,,,,1,,,18.75,BCrocs Sandals,Brandy Shoes Demo Prod,,https://images.wpbrandy.com/uploads/shoes-product-12-min.png,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
