ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
0,simple,brandy-jewelry-product-1,Eternal Bloom Necklace,1,1,visible,"The Eternal Bloom Necklace is a breathtaking piece that captures the essence of nature’s beauty. Crafted from premium sterling silver, this necklace features a beautifully detailed floral pendant that symbolizes growth and renewal. At the center of the flower, a sparkling cubic zirconia adds a touch of elegance, making it perfect for both everyday wear and special occasions. The adjustable chain allows you to customize the length, ensuring a perfect fit for any neckline. This necklace is not just an accessory; it’s a statement of elegance, ideal for gifting or as a treat for yourself to celebrate life’s beautiful moments.","The Eternal Bloom Necklace is a stunning piece that beautifully encapsulates the essence of nature's beauty. Crafted from high-quality sterling silver, this necklace features a gracefully designed floral pendant that symbolizes growth and renewal. The intricate detailing of the petals adds a layer of sophistication, making it perfect for both casual and formal occasions. At the center of the flower, a brilliant cubic zirconia sparkles, catching the light with every movement. This necklace is not just an accessory; it’s a statement of elegance and charm.The pendant hangs gracefully from an adjustable silver chain, allowing you to customize the length to suit your neckline. Whether you’re dressing up for a night out or adding a touch of elegance to your everyday attire, the Eternal Bloom Necklace complements any outfit effortlessly. Gift it to a loved one as a symbol of friendship or wear it yourself as a reminder of the beauty that surrounds us.With proper care, this necklace will retain its luster and shine, making it a cherished piece for years to come. It comes beautifully packaged, ready for gifting, ensuring that your loved ones feel special when they receive it. Celebrate life’s moments and embrace the beauty of nature with this exquisite necklace that captures the spirit of eternal blooms.",,,taxable,,1,,0,0,,,,,1,,110,121,BJewelry > BNecklace,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-1-image-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,variable,brandy-jewelry-product-2,Celestial Star Earrings,1,0,visible,"Elevate your style with the Celestial Star Earrings, a pair of dainty earrings that capture the magic of the night sky. Designed in a charming star shape, these earrings are crafted from high-quality gold and feature tiny shimmering crystals that reflect light beautifully. Perfect for any occasion, from casual outings to formal events, these earrings add a touch of whimsical elegance to your look. Lightweight and comfortable, they are ideal for all-day wear, making them a versatile addition to your jewelry collection. Gift them to a friend who loves celestial themes or wear them yourself to showcase your unique style.","Embrace the magic of the night sky with the Celestial Star Earrings. These dainty earrings are crafted from high-quality gold, featuring a charming star shape that adds a whimsical touch to any outfit. Each star is delicately embellished with tiny shimmering crystals, reflecting light beautifully and creating a dazzling effect that will surely turn heads. The minimalist design ensures that they can be worn for any occasion, whether you're dressing up for a gala or enjoying a casual day out.These earrings are lightweight and comfortable, making them perfect for all-day wear. The secure backing ensures that they stay in place, allowing you to move freely without worry. Each pair is designed to complement your unique style, whether you prefer a bohemian vibe or a more classic aesthetic. The combination of gold and crystals adds a touch of elegance, making them a versatile addition to your jewelry collection.Gift these stunning earrings to a friend who adores celestial themes or treat yourself to a little sparkle. They come beautifully packaged, making them ideal for special occasions such as birthdays, anniversaries, or just because. Celebrate the beauty of the cosmos with the Celestial Star Earrings and let your style shine like the stars.",,,taxable,,1,,0,0,,,,,1,,,200,BJewelry > BEar Ring,Brandy Jewelry Demo Prod,,"https://images.wpbrandy.com/uploads/jewelry-product-2-img-min.png, https://images.wpbrandy.com/uploads/jewelry-product-13-img-min.png, https://images.wpbrandy.com/uploads/jewelry-product-14-img-min.png",,,,,,,,,0,Size,"54.1 inches, 57.2 inches, 60.9 inches, 63.8 inches, 66.1 inches",1,1,Color,"Violet, Chartreuse, Purple, Royal Blue, Silver",1,1,,,,,
0,simple,brandy-jewelry-product-3,Ocean Wave Bracelet,1,1,visible,"The Ocean Wave Bracelet is a stunning tribute to the beauty of the sea, crafted from recycled ocean plastic to promote sustainability. Its charming wave-shaped design symbolizes the grace of ocean currents, while vibrant sea glass accents add a pop of color, reminiscent of sun-soaked days by the shore. Designed for comfort and flexibility, this bracelet easily adjusts to fit various wrist sizes, making it perfect for everyday wear or special occasions. Each piece is handcrafted, ensuring uniqueness, and it serves as a beautiful reminder of our connection to nature. Wear it with pride and celebrate ocean conservation with style.","The Ocean Wave Bracelet is a unique piece that celebrates the beauty of the sea while promoting sustainability. Made from recycled ocean plastic, this bracelet is not only stylish but also eco-friendly, making it a responsible choice for those who care about the planet. The wave shape symbolizes the fluidity and grace of ocean currents, while the sea glass accents add a pop of color, reminiscent of sunny days spent by the shore.This bracelet is designed for comfort and flexibility, easily adjusting to fit various wrist sizes. Each piece is handcrafted, ensuring that no two bracelets are exactly alike, giving you a one-of-a-kind accessory that tells a story of environmental consciousness and love for nature. The vibrant hues of the sea glass range from deep blues to soft greens, capturing the essence of the ocean and allowing you to carry a piece of the beach with you wherever you go.Whether you’re looking for a statement piece for your summer wardrobe or a thoughtful gift for a nature lover, the Ocean Wave Bracelet is the perfect choice. It’s ideal for layering with other bracelets or wearing alone for a minimalist look. Packaged sustainably, it’s ready for gifting, helping you spread the message of ocean conservation with style. Wear the Ocean Wave Bracelet and let the waves inspire you every day.",,,taxable,,1,,0,0,,,,,1,,,220,BJewelry > BAnklet,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-3-img-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-jewelry-product-4,Vintage Charm Bangle,1,0,visible,"The Vintage Charm Bangle is a delightful piece that brings together a collection of assorted vintage-inspired charms, each with its own story to tell. Crafted from high-quality brass, this bangle features a beautiful open cuff design that allows for easy wear and adjustment. The charming assortment includes mini lockets, playful keys, and more, evoking a sense of nostalgia and whimsy. Perfect for layering with other bracelets or wearing alone as a statement piece, this bangle adds a touch of character to any outfit. Gift it to a friend who loves unique jewelry or keep it as a personal treasure to express your individuality.","The Vintage Charm Bangle is a delightful accessory that tells a story with every charm. Crafted from high-quality brass, this bangle features an array of vintage-inspired charms that evoke a sense of nostalgia and whimsy. Each charm represents a different memory or emotion, from a tiny locket to a playful key, making this piece not just a fashion statement but a treasure trove of sentiments.This bangle is designed for easy wear and features an open cuff style that allows for a comfortable fit. The charms dangle gracefully, creating a beautiful movement that catches the eye. Whether you're dressing up for a special occasion or adding flair to your everyday outfit, the Vintage Charm Bangle is perfect for layering with other bangles or wearing alone as a statement piece.Ideal for those who appreciate unique, handmade jewelry, this bangle also makes a thoughtful gift for friends or family who cherish meaningful accessories. It comes elegantly packaged, ready for any occasion, from birthdays to anniversaries. The timeless appeal of the Vintage Charm Bangle makes it a versatile addition to your collection, allowing you to express your individuality and share your stories through your jewelry.",,,taxable,,1,,0,0,,,,,1,,200,400,BJewelry > BBracelet,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-4-img-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-jewelry-product-5,Bohemian Feather Earrings,1,1,visible,"Step into a world of bohemian charm with the Bohemian Feather Earrings, a pair of statement earrings designed for the free-spirited soul. These earrings feature intricate feather designs that sway gracefully, adorned with colorful bead accents that bring a vibrant touch to your look. Crafted from high-quality materials, they are lightweight and comfortable for all-day wear, making them perfect for festivals, brunches, or casual outings. The secure hook design ensures they stay in place while you dance the night away. Embrace your unique style and let your personality shine through with these enchanting earrings that celebrate individuality and creativity.","Step into a world of bohemian charm with the Bohemian Feather Earrings. These statement earrings are a celebration of creativity and individuality, featuring intricate feather designs that sway gracefully with movement. Each feather is adorned with colorful bead accents, creating a vibrant tapestry of colors that brings life to any outfit. Whether you’re attending a music festival, a casual brunch, or a night out with friends, these earrings add a touch of free-spirited flair.Crafted from high-quality materials, the Bohemian Feather Earrings are lightweight and comfortable, ensuring that you can wear them all day without discomfort. The secure hook design keeps them in place, allowing you to dance the night away without worry. These earrings are perfect for those who love to express their unique style and embrace their inner free spirit.Gift them to a friend who loves all things boho or keep them for yourself as a daily reminder to embrace your individuality. Each pair comes beautifully packaged, making them a delightful gift for any occasion. Let your personality shine and add a burst of color to your jewelry collection with the Bohemian Feather Earrings. Celebrate your unique style and let your spirit soar!",,,taxable,,1,,0,0,,,,,1,,,257,BJewelry > BEar Ring,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-5-img-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-jewelry-product-6,Classic Pearl Studs,1,1,visible,"The Classic Pearl Studs are a timeless addition to any jewelry collection, embodying elegance and sophistication. Crafted from high-quality freshwater pearls, these earrings feature a lustrous finish that reflects light beautifully, making them perfect for any occasion—from everyday wear to formal events. The minimalist design ensures versatility, allowing you to pair them with various outfits effortlessly. Each pearl is meticulously selected for its quality, ensuring you receive a pair that is both stunning and durable. Gift them to a loved one or treat yourself to these classic staples that will enhance your jewelry collection for years to come.","The Classic Pearl Studs are a quintessential addition to any jewelry collection. Crafted from high-quality freshwater pearls, these timeless earrings exude elegance and sophistication. Their understated beauty makes them perfect for any occasion, from casual gatherings to formal events. The lustrous finish of the pearls reflects light beautifully, adding a touch of radiance to your look.Each pearl is meticulously selected for its quality and luster, ensuring that you receive a pair that is not only beautiful but also durable. The secure post-back design allows for easy wear and comfort, making them an ideal choice for everyday use. Whether you’re dressing up for a business meeting or enjoying a night out, these classic studs effortlessly elevate your outfit.These earrings also make a thoughtful gift for loved ones, whether it’s for a birthday, anniversary, or just because. They come elegantly packaged, making them a perfect choice for special occasions. With their timeless appeal, the Classic Pearl Studs are sure to become a cherished piece in your collection, embodying the essence of elegance and grace. Wear them with confidence and let their classic beauty shine through.",,,taxable,,1,,0,0,,,,,1,,,150,BJewelry > BNecklace,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-6-img-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-jewelry-product-7,Mystic Topaz Ring,1,0,visible,"The Mystic Topaz Ring is a show-stopping piece that captivates with its enchanting colors and exquisite design. Set in high-quality sterling silver, the ring features a mesmerizing mystic topaz stone that displays a brilliant array of colors, shifting from vibrant greens to deep blues and purples with every angle. This captivating play of color makes it the perfect statement piece for anyone who loves to stand out. Designed for comfort, the sleek silver band ensures a snug fit for everyday wear. Whether for a special occasion or as a unique gift, this ring is sure to dazzle and delight.","The Mystic Topaz Ring is a mesmerizing piece that captures the eye with its enchanting colors. Set in high-quality sterling silver, this ring features a stunning mystic topaz stone that exhibits an array of colors, shifting from vibrant greens to deep blues and purples with every angle. This captivating play of color makes the ring a true statement piece, perfect for those who love to express their unique style.The sterling silver band is polished to perfection, offering a sleek contrast to the colorful gemstone. Designed for comfort, the ring fits snugly on your finger while allowing for everyday wear. Whether you’re attending a formal event, going out for a special dinner, or simply want to elevate your daily outfit, this ring is sure to draw compliments and admiration.This ring is also an ideal gift for someone special, celebrating milestones such as birthdays, anniversaries, or graduations. It comes beautifully packaged, ready to delight the recipient. With its bold design and vibrant colors, the Mystic Topaz Ring not only enhances your style but also adds a touch of magic to your jewelry collection. Wear it with confidence and let its beauty shine through.",,,taxable,,1,,0,0,,,,,1,,,314,BJewelry > BRing,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-7-img-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,brandy-jewelry-product-8,Sunset Horizon Anklet,1,0,visible,"The Sunset Horizon Anklet is a charming accessory that captures the warm hues of a summer sunset. Featuring a delicate chain adorned with vibrant sunset-colored beads, this anklet is designed to evoke the beauty of golden hour. Perfect for beach days, summer festivals, or simply adding flair to your casual outfits, it adds a playful touch to your look. The adjustable design ensures a comfortable fit for various ankle sizes, allowing you to wear it effortlessly. Whether you’re gifting it to a friend or treating yourself, this anklet embodies the spirit of summer and is sure to brighten your day.","The Sunset Horizon Anklet is a delightful accessory that evokes the warm hues of a summer sunset. Crafted with care, this anklet features a delicate chain adorned with sunset-colored beads, ranging from warm oranges to soft pinks. The colors blend harmoniously, capturing the essence of golden hour, making it a perfect addition to your summer wardrobe.Designed for comfort, the anklet is adjustable to fit various ankle sizes, allowing for a secure and comfortable fit. Whether you’re heading to the beach, attending a summer festival, or simply enjoying a sunny day in the park, this anklet adds a touch of playful elegance to your look. It can be worn alone for a",,,taxable,,1,,0,0,,,,,1,,,150,BJewelry > BNecklace,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-8-img-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,variable,brandy-jewelry-product-9,Harmony Gemstone Bracelet,1,1,visible,"The Harmony Gemstone Bracelet is a stunning piece that embodies beauty and meaning through its carefully selected gemstones. Featuring a harmonious blend of vibrant stones, including amethyst for tranquility, citrine for prosperity, and rose quartz for love, this bracelet serves as a reminder to embrace positivity in your life. Strung on a durable elastic cord, it offers a comfortable fit for everyday wear. The vibrant colors create a beautiful mosaic that enhances any outfit, making it perfect for layering or wearing alone. This bracelet also makes an ideal gift for a loved one, celebrating the power of love and harmony in your life.","The Harmony Gemstone Bracelet is a stunning accessory that combines beauty with meaning. Crafted from an array of vibrant, high-quality gemstones, this bracelet is designed to bring balance and positivity to your life. Each gemstone is carefully selected not only for its unique color but also for its significance. The bracelet features amethyst for tranquility, citrine for prosperity, and rose quartz for love, creating a harmonious blend that resonates with positive energy.The stones are strung on a durable elastic cord, making it easy to wear and comfortable for everyday use. The vibrant colors of the gemstones create a beautiful mosaic that can elevate any outfit, whether you’re dressing up for an event or adding a touch of elegance to your casual wear. This bracelet is perfect for layering with other pieces, allowing you to create a personalized look that reflects your unique style.Ideal as a gift for a loved one or a special treat for yourself, the Harmony Gemstone Bracelet comes beautifully packaged, making it perfect for birthdays, anniversaries, or just to show someone you care. Embrace the positive vibes and let this bracelet serve as a daily reminder to seek harmony in your life. Wear it with pride and let your inner light shine through.",,,taxable,,1,,0,0,,,,,1,,110,121,BJewelry > BGemstone,Brandy Jewelry Demo Prod,,"https://images.wpbrandy.com/uploads/jewelry-product-9-img-min.png, https://images.wpbrandy.com/uploads/jewelry-product-13-img-min.png, https://images.wpbrandy.com/uploads/jewelry-product-14-img-min.png",,,,,,,,,0,Size,"54.1 inches, 57.2 inches, 60.9 inches, 63.8 inches, 66.1 inches",1,1,Color,"Violet, Chartreuse, Purple, Royal Blue, Silver",1,1,,,,,
0,simple,brandy-jewelry-product-10,Silver Leaf Cuff,1,1,visible,"The Silver Leaf Cuff is an elegant representation of nature’s beauty, meticulously crafted from high-quality sterling silver. This cuff bracelet features intricate leaf patterns that wrap around your wrist, creating a stunning visual effect that captures the essence of the outdoors. Its versatile design allows for effortless pairing with various outfits, whether for casual wear or formal occasions. The open cuff style allows for easy adjustment to fit different wrist sizes, ensuring comfort while maintaining its stylish appearance. Gift it to a nature lover or add it to your collection as a timeless piece that embodies elegance and a love for the natural world.","The Silver Leaf Cuff is an exquisite piece that pays homage to the beauty of nature. Crafted from high-quality sterling silver, this cuff bracelet features intricate leaf patterns that wrap elegantly around your wrist, creating a striking visual effect. The detailed craftsmanship brings the design to life, making it a perfect accessory for those who appreciate the elegance and tranquility of the natural world.This cuff is designed for versatility and can be worn alone as a statement piece or stacked with other bracelets for a more layered look. Its open design allows for easy adjustment to fit various wrist sizes, ensuring comfort throughout the day. Whether you’re dressing up for a special occasion or adding a touch of elegance to your everyday style, the Silver Leaf Cuff enhances any outfit with its timeless beauty.Gift this stunning cuff to a friend who loves nature or keep it as a personal reminder of your connection to the earth. It comes beautifully packaged, ready for any occasion, from birthdays to holidays. Celebrate the elegance of nature and let the Silver Leaf Cuff become a cherished piece in your jewelry collection, embodying the spirit of growth and renewal.",,,taxable,,1,,0,0,,,,,1,,,200,BJewelry > BBracelet,Brandy Jewelry Demo Prod,,https://images.wpbrandy.com/uploads/jewelry-product-10-img-min.png,,,,,,,,,0,,,,,,,,,,,,,
